Income_2019,Income_2020,Percent_Change_2020,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
"41,557","46,909",12.9,86000.35,0.95003,96.58,10154.87,0.89793,1357.5,11116.47,0.8055,835.83,9608.14,0.95085,12443
"49,454","54,008",9.2,93810.04,0.92673,129.5,12303.51,0.90296,1003.17,16376.32,0.81272,1098.5,9987.28,0.82842,8987.92
"41,033","45,429",10.7,75069.55,0.93608,104.42,10384.88,0.92858,670.67,20752.6,0.88058,435.08,9875.54,0.92975,7850.17
"32,018","35,987",12.4,74946.81,0.98057,30.67,10180.31,0.81566,269.92,13250.29,0.83332,187.5,9541.71,0.87782,1892.33
"40,517","43,150",6.5,*,*,*,7710.17,0.85198,87.67,13400.07,0.85874,32.67,9881.86,0.91099,621.67
"43,174","46,286",7.2,81554.89,0.95762,34.67,12701.78,1.02104,246.75,20497.9,0.92595,194.42,10506.74,0.98207,2397.83
"52,032","56,255",8.1,83282.65,1.00711,2346.33,11635.02,1.0065,17610.5,16765.66,0.94713,7656.75,10907.56,0.98526,249957.83
"35,647","38,717",8.6,84019.67,1.01385,210.42,11255.75,0.97627,2457.25,15105.02,0.95157,1285.33,10375.27,1.01373,26826.17
"33,756","38,524",14.1,83684.12,0.95059,244.58,10316.56,0.9189,1441.58,15200.05,0.79429,1745.83,9911.6,0.89466,9374.08
"45,996","50,131",9.0,70922.01,0.98418,646.67,10293.58,0.98784,5163.58,13082.4,0.87269,2414,9419.38,0.96633,68606.08
"37,402","40,979",9.6,81232.65,0.9974,434.17,11971.58,0.97908,2773.75,17909.35,0.9543,1054.17,10402.84,0.95254,30331.42
"38,555","43,734",13.4,63644.47,0.89521,33.17,9845.73,0.98984,137.42,8896.78,0.71378,221,7403.39,0.85748,1929.75
"43,306","47,203",9.0,102624.16,1.03546,97.17,10038.12,0.89397,2029.25,16018.59,0.87735,940.83,10347.78,0.9093,34475.92
"37,624","42,732",13.6,84247.18,0.99069,272.08,10732.22,1.00532,1391.17,13302.38,0.84811,1678.33,11377.67,1.04474,15193.83
"38,172","40,395",5.8,65693.68,0.96443,53.17,8385.04,0.83862,623.42,17684.61,0.93596,314.92,11005.36,0.98717,2661
"38,535","40,968",6.3,69540.21,0.94662,29.25,9404.7,0.90744,985.75,16514.42,1.03475,419.5,10184.49,1.01763,7126.75
"86,848","86,938",0.1,66978.04,0.99616,164.5,9802.33,0.97246,2199,14832.15,1.00843,1094.58,9808.45,1.0238,16536
"36,495","38,988",6.8,73213.94,0.90109,41.42,9224.29,0.84609,906.58,15686.33,1.03076,406.08,8886.99,0.98019,4333.17
"39,690","42,740",7.7,68768.55,0.87805,24.33,13964.33,1.04445,312.25,18538.51,0.89067,171.92,11505.5,1.0444,1209.83
"38,581","42,102",9.1,*,*,*,8275.14,0.95858,141.75,18727.1,0.86382,42.33,11591.04,1.01534,571.25
"32,829","34,896",6.3,83612.66,0.88742,12.25,8931.71,0.83349,461.58,14769.5,0.97362,266.67,8514.02,0.89428,2757.17
"38,030","44,738",17.6,85080.32,0.9258,40.33,11253.4,0.89577,286,19534.38,0.90154,250.92,11487.8,0.92756,1077.67
"38,155","41,306",8.3,75796.05,0.93846,28,9038.7,0.86634,342.08,17787.61,1.00401,175.25,9824.53,0.93564,2035.25
"34,905","39,772",13.9,62267.87,1.0449,18.58,10271.15,0.86005,490.83,20271.21,1.02679,295.33,10437.87,0.93514,1927.75
"39,597","42,579",7.5,95529.01,0.89973,15.92,8849.01,0.87772,707.5,15422.94,0.95352,262.67,8905.96,0.92197,4341.83
"41,536","42,714",2.8,114365.99,0.93975,10.17,9768.51,0.91259,209.67,16176.01,0.87097,95.33,11844.67,0.97388,1030.33
"38,169","40,526",6.2,59717.18,0.89443,35.5,8843.04,0.85031,621.42,16182.58,0.89304,298.42,9349.72,0.94083,2377.67
"38,985","41,696",7.0,61241.34,0.97021,16,8485.13,0.83708,548,16296.5,1.00784,263.83,9566.82,0.95289,2261.92
"38,810","42,024",8.3,71443.7,0.96899,100.33,10150.64,0.88461,2033.17,16518.24,0.94573,791.5,10084.59,0.95313,8841.17
"35,445","37,829",6.7,74596.4,0.98162,40.75,9258.39,0.96874,1089.17,18536.87,1.12966,445.33,9309.23,1.07767,4412.75
"37,978","41,598",9.5,85688.12,0.9609,123.5,10314.6,1.00257,1021.92,16930.35,0.94471,521.33,11236.31,1.02072,2947.75
"35,961","40,423",12.4,72899.31,0.86057,27,11890.69,0.906,392.58,16602.04,0.88221,220.33,9855.42,0.92366,1655.5
"39,012","42,465",8.9,58882.43,0.84733,18.58,11054.43,0.82067,154.67,14754.67,0.9449,72.83,11097.77,0.95115,801.75
"38,458","45,111",17.3,89196.32,0.93319,24.42,10904.98,0.83491,338.5,19748.34,0.87425,187.42,10471.02,0.90373,1203.92
"38,788","42,476",9.5,69109.48,0.9368,27.75,10737.75,0.91907,465.33,17921.18,1.01793,236.17,10806.51,1.05752,1788.17
"40,546","43,322",6.8,70341.81,0.98166,106.75,9044.88,0.87821,1944.75,17908.29,0.97175,663.75,9582.75,0.95909,10329.42
"33,810","35,248",4.3,93011,1.03788,8.58,8378.44,0.92222,332,18946.44,1.00451,197,10026.33,1.08536,1548.17
"29,034","32,621",12.4,99310.24,1.02533,10.67,8759.47,0.86507,353.75,18649.35,0.98794,220.67,10181.83,1.01548,1548.92
"41,510","44,472",7.1,92625.49,1.07156,90.5,12003.56,1.00804,1912.67,21226.35,1.0265,767.42,11095.61,1.00557,13063.5
"40,384","43,237",7.1,61281.62,0.94494,12.75,11201.39,0.98739,401,21995.83,1.08773,114,10326.89,1.06323,2046.58
"35,811","39,258",9.6,87188.48,0.96211,35.75,9765.21,0.8611,1111.75,18694.34,1.01527,421.17,10503.71,0.97801,4046.83
"33,624","35,784",6.4,54210.92,0.88182,30.92,9739.28,0.9091,515,19401.53,0.97224,236.25,10148.31,0.98658,1767.58
"32,211","34,907",8.4,73911.16,1.01739,30.25,9374.68,0.97494,724.67,18847.52,1.05658,307.67,10975.26,1.09464,3569
"34,864","35,669",2.3,85227.03,0.99262,21.17,9754.89,0.8813,324.08,23234.28,1.0056,170.83,10168.19,1.00354,1385.17
"36,060","38,631",7.1,105014.99,1.08954,20.83,10461.13,0.90574,1017,17449.54,1.05937,508.33,11069.57,1.03864,4095.33
"30,885","33,061",7.0,82937.44,1.03743,8.25,8877.65,0.78438,456.67,15682.97,0.92291,262.92,10368.41,0.96874,1837.33
"37,858","42,541",12.4,83261.8,0.96901,23.5,10870.59,0.93678,479.5,19854.57,1.04922,274.25,11125.46,1.0326,1683.5
"34,843","38,571",10.7,85626.61,0.98931,134,9704.5,0.97592,1556.42,16679.23,0.92418,698.75,9824.5,0.9675,5797.42
"29,625","31,779",7.3,58919.84,0.95416,23.92,8331.04,0.82484,688.25,15124.77,0.88318,248.75,8927.2,0.95496,2131.25
"37,184","40,154",8.0,82403.42,1.07342,12.08,7496.24,0.78561,210.67,12978.63,0.80267,137.75,9817.17,0.94821,796.75
"34,286","39,170",14.2,63123.05,0.90674,19.83,9594.3,0.86555,531.83,19841.95,0.97289,294.25,9903.21,0.96041,1781.25
"30,106","34,169",13.5,71062.98,0.90906,24.08,7884.41,0.91579,171.08,12855.76,0.8351,171.33,8469.43,0.93981,649.75
"27,391","29,548",7.9,82351.68,0.9237,12.92,10436.52,0.97429,296.33,17660.75,0.97247,172.25,11287.53,1.01246,1001.17
"34,511","37,360",8.3,75230.48,0.98704,15.5,11679.85,1.00677,238.5,20868.94,0.97787,127.92,10926.59,1.05167,1217.17
"33,216","35,348",6.4,79414.41,1.0179,16.83,8852.05,0.86769,544.25,20817.11,1.08522,284.83,10498.81,1.005,2196.33
"40,743","43,681",7.2,64515.31,0.94395,48.08,8847.97,0.93929,1264.08,18189.33,1.04048,472.75,9920.69,0.96797,6073.33
